    n | CN                                       | FR                                                           | EN                                                
  336 | 六品丹方                                     | Recette de pilule de rang 6                                  | Chapter 336 - Rank 6 Pill Recipe                  
  337 | 不舍                                       | Ne pas abandonner                                            | Chapter 337 - Not Giving Up                       
  338 | 李慕婉                                      | Li Muwan                                                     | Chapter 338 - Li Muwan                            
  339 | 转世重生                                     | La Réincarnation                                             | Chapter 339 (Title at bottom)                     
  340 | 朱雀国使者                                    | Messager de Suzaku                                           | Chapter 340 - Messenger of Suzaku                 
  341 | 朱雀山的三次传讯                                 | Trois messages de la Montagne Suzaku                         | Chapter 341 - Three Message From Mount Suzaku     
  342 | 野人余孽                                     | Vestiges des Sauvages                                        | Chapter 342 - Remnant of the Savages              
  343 | 朱雀国（第二更）                                 | Pays de Suzaku                                               | Chapter 343 - Country of Suzaku                   
  344 | 还记得巨富么（第三更，求月票。）                         | Te souviens-tu encore de Richesse ?                          | Chapter 344 - Do you still remember Wealth        
  345 | 野人                                       | Sauvages                                                     | Chapter 345 - Savages                             
  346 | 术咒师                                      | Chaman                                                       | Chapter 346 - Shaman                              
  347 | 仙遗族                                      | "Le Clan de l'Immortel Délaissé"                             | Chapter 347 - Forsaken Immortal Clan              
  348 | 轮回树                                      | "L'Arbre de la Réincarnation"                                | Chapter 348 - Reincarnation Tree                  
  349 | 半个时辰                                     | Une demi-heure                                               | Chapter 349 - Half An Hour                        
  350 | (empty)                                  | Le Pouvoir du Char de Destruction des Dieux                  | Chapter 350 - Power of the God Slaying Chariot     *
  351 | 逃                                        | Évasion                                                      | Chapter 351 - Escape                              
  352 | 符傀                                       | Marionnette Tatouée                                          | Chapter 352 - Tattoo Puppet                       
  353 | 木属性                                      | Élément Bois                                                 | Chapter 353 - Wood Element                        
  354 | 断你后路                                     | "Couper sa voie d'évasion"                                   | Chapter 354 - Cutting Your Escape Path            
  355 | 余人 （第一更，求月票！）                            | Les survivants                                               | Chapter 355 - Remaining people                    
  356 | 离开 （第二更，月票啊！）                            | Départ                                                       | Chapter 356 - Leaving                             
  357 | 叔叔 （第三更，求票！）                             | Oncle                                                        | Chapter 357 - Uncle                               
  358 | 司徒南 （第一更！求月票！）                           | Situ Nan                                                     | Chapter 358 - Situ Nan                            
  359 | （第二更，求月票！）                               | Chapitre 359 -                                               | Chapter 359 -                                     
  360 | 十年之约 （第三更）                               | Le rendez-vous décennal                                      | Chapter 360 - The 10 year appointment             
  361 | 朱雀国                                      | Pays de Suzaku                                               | Chapter 361 - Country of Suzaku                   
  362 | 红蝶之战                                     | Bataille contre le Papillon Rouge                            | Chapter 362 - Battle with Red Butterfly           
  363 | 昆极鞭                                      | "Le Fouet d'Âmes"                                            | Chapter 363 - Soul Lasher                         
  364 | 战车怒                                      | La Fureur du Char                                            | Chapter 364 - Fury of the Chariot                 
  365 | 意境威                                      | Le pouvoir des domaines                                      | Chapter 365 - Power of Domains                    
  366 | 阴谋初现                                     | Le complot se dévoile                                        | Chapter 366 - The Conspiracy Reveals Itself       
  367 | 柳眉与乾风                                    | Liu Mei et Qian Feng                                         | Chapter 367 - Liu Mei and Qian Feng               
  368 | 大劫！                                      | "Grande Calamité !"                                          | Chapter 368                                       
  369 | 缘由                                       | La Raison                                                    | Chapter 369 - The Reason                          
  370 | 两败俱伤                                     | Destruction mutuelle                                         | Chapter 370 - Mutual Destruction                  
  371 | 凡人                                       | Mortel                                                       | Chapter 371 - Mortal                              
  372 | 火云寨                                      | Le Village des Nuages de Feu                                 | Chapter 372 - Fire Cloud Village                  
  373 | 蚊兽                                       | La bête moustique                                            | Chapter 373 - Mosquito beast                      
  374 | 水下之物                                     | "Objet dans l'eau"                                           | Chapter 374 - Object in the water                 
  375 | 炼魂宗                                      | "Secte de l'Affinement de l'Âme"                             | Chapter 375 - Soul Refining Sect                  
  376 | 旧年最后一天                                   | "Le dernier jour de l'année"                                 | Chapter 376 - The last day of the new year        
  377 | 聚灵                                       | "Rassemblement d'esprits"                                    | Chapter 377 - Gathering Spirits                   
  378 | (empty)                                  | Récupération folle (1)                                       | Chapter 378 - Crazy Recovery (1)                   *
  379 | (empty)                                  | Récupération folle (2)                                       | Chapter 379 - Crazy Recovery (2)                   *
  380 | 寻查                                       | Recherche                                                    | Chapter 380 - Search                              
  381 | 柳眉交锋第一幕                                  | Premier affrontement avec Liu Mei                            | Chapter 381 - First clash with Liu Mei            
  382 | 极境与死咒术                                   | Le Royaume du Ji et le Sort de la Mort                       | Chapter 382 - Ji Realm and the Death Spell        
  383 | 炼魂宗内门                                    | "Secte interne de la Secte de l'Affinement de l'Âme"         | Chapter 383 - Inner Sect of the Soul Refining Se  
  384 | 魂幡三法                                     | "Les trois méthodes du Drapeau de l'Âme"                     | Chapter 384 - Three method of the Soul Flag       
  385 | 金色魂幡                                     | "Le Drapeau de l'Âme Dorée"                                  | Chapter 385 - Golden Soul Flag                    
  386 | 柳眉交锋第二幕                                  | Deuxième rencontre avec Liu Mei                              | Chapter 386 - Second encounter with Liu Mei       
  387 | 战主魂                                      | Âme de Bataille Principale                                   | Chapter 387 - Main Battle Soul                    
  388 | 收麒麟魂幡                                    | "Collecte de l'Étendard d'Âme du Qilin"                      | Chapter 388 - Collecting Qilin Soul Flag          
  389 | 小友，老夫等你多时                                | "Petit ami, ce vieil homme t'attend depuis longtemps"        | Chapter 389 - Little friend, this old man has wa  
  390 | 三份大礼                                     | Trois cadeaux incroyables                                    | Chapter 390 - Three amazing gifts                 
  391 | 云雀子                                      | Yunque Zi                                                    | Chapter 391 - Yunque Zi                           
  392 | 六级修真国                                    | Pays de culture de rang 6                                    | Chapter 392- Rank 6 cultivation country           
  393 | 一字之威                                     | "Le pouvoir d'un seul mot"                                   | Chapter 393 - The power of one word               
  394 | 最弱的婴变与真正的王林                              | "La Transformation de l'Âme la plus faible et le véritable   | Chapter 394 - The weakest soul transformation an  
  395 | 朱雀星天资最高之人                                | "L'individu le plus talentueux de la planète Suzaku"         | Chapter 395 - The most talented person on planet  
  396 | 十亿尊魂幡                                    | "Le drapeau des un milliard d'âmes"                          | Chapter 396 - One billion soul soul flag          
  397 | 巨魔族                                      | Le Clan des Démons Géants                                    | Chapter 397 - Giant Demon Clan                    
  398 | 叱虎的选择                                    | Le choix de Chi Hu                                           | Chapter 398 - Chi Hus choice                      
  399 | 老祖现                                      | "L'ancêtre apparaît"                                         | Chapter 399 - The ancestor appears                
  400 | 许立国                                      | Xu Liguo                                                     | Chapter 400 - Xu Liguo                            
  401 | 周武泰                                      | Zhou Wutai                                                   | Chapter 401 - Zhou Wutai                          
  402 | 老祖灭                                      | "La mort de l'ancêtre !"                                     | "Chapter 402 - The ancestor dies!"                
  403 | 魅姬                                       | Mei Ji                                                       | Chapter 403 - Mei Ji                              
  404 | 周茹                                       | Zhou Ru                                                      | Chapter 404 - Zhou Ru                             
  405 | 小白                                       | Petit Blanc                                                  | Chapter 405 - Little White                        
  406 | 惊变                                       | Changement choquant                                          | Chapter 406 - Shocking change                     
  407 | 天道来临                                     | "L'arrivée du messager céleste"                              | Chapter 407 - Arrival of the heavens messenger    
  408 | 天意弄人                                     | Les Cruelles Moqueries du Destin                             | "Chapter 408 - Fate's Cruel Teasing"              
  409 | 道心                                       | Le Cœur du Dao                                               | Chapter 409 - Dao Heart                           
  410 | 婴变（一）                                    | "Transformation de l'Âme (1)"                                | Chapter 410 - Soul Transformation (1)             
  411 | 故人                                       | Un vieil ami                                                 | Chapter 411 - An old friend                       
  412 | 余宝                                       | Le trésor laissé derrière                                    | Chapter 412 - Remaining Treasure                  
  413 | 始祖                                       | Ancêtre                                                      | Chapter 413 - Ancestor                            
  414 | 巨富                                       | Richesse                                                     | Chapter 414 - Wealth                              
  415 | 婴变（二）                                    | "Transformation de l'Âme (2)"                                | Chapter 415 - Soul Transformation (2)             
  416 | 传统                                       | Tradition                                                    | Chapter 416 - Tradition                           
  417 | 仙遗族二战开启                                  | Le second combat contre le Clan Immortel Déchu commence      | Chapter 417 - The second battle with the Forsake  
  418 | 十亿尊魂幡的真正威力                               | "Le véritable pouvoir de l'Étendard des Mille Milliards d'   | Chapter 418 - The true power of the 1 billion so  
  419 | 二代朱雀？司徒南？（第一更）                           | Deuxième génération de Suzaku ? Situ Nan ?                   | Chapter 419 - Second generation Suzaku Situ Nan   
  420 | 乾风 （第二更，求月票！）                            | Qian Feng                                                    | Chapter 420 - Qian Feng                           
  421 | 婴变（终）                                    | "Transformation de l'Âme"                                    | Chapter 421 - Soul Transformation                 
  422 | 朱雀子                                      | Zhuque Zi                                                    | Chapter 422 - Zhuque Zi                           
  423 | 聪明莫若帝王                                   | Le Roi Sage et Accablé de Chagrin                            | Chapter 423 - The Wise and Sorrowful King         
  424 | 司徒南                                      | Situ Nan                                                     | Chapter 424 - Situ Nan                            
  425 | 童子                                       | Garçon                                                       | Chapter 425 - Boy                                 
  426 | 修星之晶                                     | Le Cristal de la Planète de Culture                          | Chapter 426 - Cultivation Planet Crystal          
  427 | 祖灵树                                      | "L'Arbre Spirituel Ancestral"                                | Chapter 427 - Ancestral Spirit Tree               
  428 | 小北炎极                                     | La Petite Terre des Flammes du Nord                          | Chapter 428 - Little Northern Flame Land          
  429 | 修星之晶的秘密                                  | Le secret du Cristal de la Planète de Culture                | Chapter 429 - The secret of the Cultivation Plan  
  430 | 执行者                                      | Messager                                                     | Chapter 430 - Messenger                           
  431 | 鸠占鹊巢                                     | La colombe a pris possession du nid de la pie                | Chapter 431 - The dove took over the magpies nes  
  432 | 祖符头骨                                     | Crâne au Tatouage Ancestral                                  | Chapter 432 - Ancestral Tattoo Skull              
  433 | 三祖是她                                     | La troisième ancêtre est elle                                | Chapter 433 - The third ancestor is her           
  434 | 你可愿                                      | Souhaitez-vous partager mon lit ?                            | Chapter 434 - Do you wish to lie with me          
  435 | 尸阴宗地下的巨人                                 | Le géant sous la Secte des Cadavres                          | Chapter 435 - The giant under the Corpse Sect     
  436 | 曹一斗                                      | Cao Yidou                                                    | Chapter 436 - Cao Yidou                           
  437 | (empty)                                  | Sauvez-moi...                                                | Chapter 437 - Save me                              *
  438 | 雷吉                                       | Lei Ji                                                       | Chapter 438 - Lei Ji                              
  439 | 道不同                                      | Différence de Dao                                            | Chapter 439 - Difference in Dao                   
  440 | 问鼎之上                                     | "Au-dessus de l'Ascendant"                                   | Chapter 440 - Above ascendant                     
  441 | 朱雀子的疯狂（一）                                | La folie de Zhuque Zi (1)                                    | Chapter 441 - Zhuque Zis madness (1)              
  442 | 朱雀子的疯狂（终）                                | La folie de Zhuque Zi (2)                                    | Chapter 442 - Zhuque Zis madness (2)              
  443 | 此人是谁                                     | Qui est cette personne ?                                     | Chapter 443 - Who is this person                  
  444 | 焦土之灵                                     | "L'Esprit de la Terre Brûlée"                                | Chapter 444 - Scorched Earth Spirit               
  445 | 慕容云                                      | Murong Yun                                                   | Chapter 445 - Murong Yun                          
  446 | 祭坛                                       | "L'Autel"                                                    | Chapter 446 - Alter                               
  447 | 美艳不可方物                                   | Une beauté que nul ne peut reproduire                        | Chapter 447 - A beauty that cant be replicated    
  448 | 柳眉交锋第三幕                                  | La troisième rencontre avec Liu Mei                          | Chapter 448 - The third encounter with Liu Mei    
  449 | 最后一幻                                     | "L'ultime illusion"                                          | Chapter 449 - The last illusion                   
  450 | 千幻道                                      | Domaine des Mille Illusions de la Luxure                     | Chapter 450 - Thousand Illusion Lust Domain       
  451 | 婉儿命魂                                     | "Le Fragment d'Âme de Wan Er"                                | Chapter 451 - Wan Ers Soul Piece                  
  452 | 夺魂                                       | "Voler l'âme"                                                | Chapter 452 - Stealing the soul                   
  453 | 拓森的使者                                    | Le messager de Tuo Sen                                       | Chapter 453 - Tuo Sens messenger                  
  454 | 奇宝                                       | Trésor étrange                                               | Chapter 454 - Strange Treasure                    
  455 | 红蝶                                       | Papillon Rouge                                               | Chapter 455 - Red Butterfly                       
  456 | 嫣红                                       | Rose Écarlate                                                | Chapter 456 - Rose Red                            
  457 | 如蝶                                       | Comme un papillon                                            | Chapter 457 - Like a butterfly                    
  458 | 齐聚                                       | Tous réunis                                                  | Chapter 458 - All gathered                        
  459 | 铁石之人                                     | Un homme de fer et de pierre                                 | Chapter 459 - Man of iron and stone               
  460 | 金甲大汉                                     | "L'homme massif en armure dorée"                             | Chapter 460 - The Metal Armored Burly man.        
  461 | 杀机                                       | Intention de tuer                                            | Chapter 461 - Killing Intent                      
  462 | 叶无忧                                      | Ye Wuyou                                                     | Chapter 462 - Ye Wuyou                            
  463 | 抢夺                                       | Vol                                                          | Chapter 463 - Rob                                 
  464 | 朱雀传承                                     | "L'Héritage de Suzaku"                                       | Chapter 464 - Suzakus Inheritance                 
  465 | 战乾风                                      | Affrontement avec Qian Feng                                  | Chapter 465 - Battling Qian Feng                  
  466 | 拓森的杀机                                    | "L'intention meurtrière de Tuo Sen"                          | Chapter 466 - Tuo Sens Killing Intent             
  467 | 修真联盟使者                                   | "Messager de l'Alliance de Culture"                          | Chapter 467 - Cultivation alliance messenger      
  468 | 朱雀幕（终）                                   | La Tombe de Suzaku                                           | Chapter 468 - Suzaku Tomb                         
  469 | 一年                                       | Un an                                                        | Chapter 469 - One Year                            
  470 | 缘分已尽                                     | Notre lien de destin se termine                              | Chapter 470 - Our fateful connection ends         
  471 | 炼宝                                       | Raffinement de trésors                                       | Chapter 471 - Refining Treasure                   
  472 | 朱雀星（终）                                   | Planète Suzaku                                               | Chapter 472 - Planet Suzaku                       
  473 | 交易星                                      | Planète de commerce                                          | Chapter 473 - Trading Planet                      
  474 | 坤木石                                      | Pierre de bois du vide                                       | Chapter 474 - Void Wood Stone                     
  475 | 白薇                                       | Bai Wei                                                      | Chapter 475 - Bai Wei                             
  476 | 独自征途                                     | Voyage en solitaire                                          | Chapter 476 - Solo Journey                        
  477 | 初入天运                                     | Arrivée à Tian Yun                                           | Chapter 477 - Arriving at Tian Yun                
  478 | 问道                                       | La Quête du Dao                                              | Chapter 478 - Seeking Dao                         
  479 | 道                                        | Le Dao                                                       | Chapter 479 - Dao                                 
  480 | 紫云阁                                      | Le Pavillon des Nuages Pourpres                              | Chapter 480 - Purple Cloud Pavilion               
  481 | 跋扈                                       | Domination                                                   | Chapter 481 - Domineering                         
  482 | 紫林阁                                      | Palais de la Forêt Violette                                  | Chapter 482 - Purple Forest Palace                
  483 | 化魔指                                      | Le Doigt Démoniaque                                          | Chapter 483 - Demonic Finger                      
  484 | 天运子                                      | "L'Omniscient"                                               | Chapter 484 - All-Seer                            
  485 | 仙术                                       | Sortilège Céleste                                            | Chapter 485 - Celestial Spell                     
  486 | 天运七子                                     | "Les 7 véritables disciples de l'Omniscient"                 | Chapter 486 - The 7 true disciples of the All-Se  
  487 | 剑意                                       | "L'intention de l'épée"                                      | Chapter 487 - Sword Intent                        
  488 | 困地修炼                                     | Cultiver en étant piégé                                      | Chapter 488 - Cultivating while trapped           
  489 | 寿宴                                       | "Célébration d'anniversaire"                                 | Chapter 489 - Birthday Celebration                
  490 | 紫气东来                                     | Qi Violet du Levant                                          | Chapter 490 - Purple Qi From the East             
  491 | 闯宴                                       | Gâcher la célébration                                        | Chapter 491 - Crashing the celebration            
  492 | 古妖                                       | Démon Ancestral                                              | Chapter 492 - Ancient Demon                       
  493 | 九转炼仙诀                                    | Tactique de Raffinement Céleste en Neuf Cycles               | Chapter 493 - Nine Cycle Celestial Refining Tact  
  494 | 孙长老！                                     | "L'Ancien Sun !"                                             | "Chapter 494 - Elder Sun!"                        
  495 | 他！                                       | "Lui !"                                                      | "Chapter 495 - He!"                               
  496 | 又见凌天候                                    | Retrouvailles avec Ling Tianhou                              | Chapter 496 - Meeting Ling Tianhou again          
  497 | 引仙术                                      | Sortilège de Guidance Céleste                                | Chapter 497 - Celestial Guidance Spell            
  498 | 赵欣梦                                      | Zhao Xinmeng                                                 | Chapter 498 - Zhao Xinmeng                        
  499 | 紫系老六                                     | Le Sixième Frère de la Division Violette                     | Chapter 499 - The Purple Divisions Sixth Brother  
  500 | 战问鼎！                                     | Combat contre un Ascendant                                   | Chapter 500 - Battling an Ascendant               
  501 | 碎仙之地                                     | La Terre Brisée des Célestes                                 | Chapter 501 - Shatter Land of Celestials          
  502 | 意境入体                                     | Le Domaine entre dans le corps                               | Chapter 502 - Domain Enters the Body              
  503 | 多了一个                                     | Un de plus                                                   | Chapter 503 - One More                            
  504 | 杀戮剑诀                                     | Art Céleste de la Boucherie                                  | Chapter 504 - Celestial Slaughter Art             
  505 | 玄渊派                                      | Sect Xuan Yuan                                               | Chapter 505 - Xuan Yuan Sect                      
  506 | 使者                                       | Le Messager                                                  | Chapter 506 - Messenger                           
  507 | 地魔北界                                     | Terres Démoniaques du Nord de la Terre                       | Chapter 507 - Earth Northern Demonic Lands        
  508 | 蚊兽的进化                                    | Évolution de la bête moustique                               | Chapter 508 - Evolution of the mosquito beast     
  509 | 九黎虫                                      | "L'Insecte des Neuf Multitudes"                              | Chapter 509 - Nine Multitude Bug                  
  510 | 崩！溃！                                     | "Effondrement ! Rupture !"                                   | "Chapter 510 - Collapse! Break Down!"             
  511 | 战！                                       | "Bataille !"                                                 | "Chapter 511 - Battle!"                           
  512 | 杀！                                       | "Tuer !"                                                     | "Chapter 512 - Kill!"                             
  513 | 金灵根                                      | "Racine d'Esprit Dorée"                                      | Chapter 513 - Golden Spirit Root                  
  514 | 目标，东海                                    | "Destination, Mer Orientale !"                               | "Chapter 514 - Destination, Eastern Sea!"         
  515 | 东海为何                                     | "Pourquoi la Mer de l'Est"                                   | Chapter 515 - Why The East Sea                    
  516 | 贪狼之行                                     | "Le Voyage de l'Avarice"                                     | Chapter 516 - Greeds Trip                         
  517 | 贪狼的心思                                    | Les Pensées de la Cupidité                                   | Chapter 517 - Greeds Thoughts                     
  518 | 潮汐                                       | Phase des Marées                                             | Chapter 518 - Tide Phase                          
  519 | 令牌                                       | Le Jeton                                                     | Chapter 519 - Token                               
  520 | 东海妖灵                                     | "Mer des Esprits Démoniaques de l'Est"                       | Chapter 520 - East Demon Spirit Sea               
  521 | 山谷                                       | La Vallée Montagneuse                                        | Chapter 521 - Mountain Valley                     
  522 | 谷内长老                                     | "L'Ancien de la Vallée"                                      | Chapter 522 - Elder Inside The Valley             
  523 | 破阵                                       | Briser la Formation                                          | Chapter 523 - Breaking The Formation              
  524 | 黄龙                                       | Huang Long                                                   | Chapter 524 - Huang Long                          
  525 | 天妖郡                                      | Le Pays des Démons Célestes                                  | Chapter 525 - Sky Demon Country                   
  526 | 黑衣男子                                     | "L'Homme en Noir"                                            | Chapter 526 - Man In Black                        
  527 | 生之烙印                                     | Sceaux de Force Vitale                                       | Chapter 527 - Life Force Seals                    
  528 | 魔禁                                       | Démon Interdit                                               | Chapter 528 - Forbidden Devil                     
  529 | 抹杀                                       | Effacé                                                       | Chapter 529 - Erased                              
  530 | 搜魂术                                      | "Sort de Recherche d'Âme"                                    | Chapter 530 - Soul Search Spell                   
  531 | 始境                                       | Le Domaine Shi                                               | Chapter 531 - Shi Realm                           
  532 | 炼魂新宗                                     | "La Nouvelle Secte de l'Affinement de l'Âme"                 | Chapter 532 - The New Soul Refining Sect          
  533 | 妖力结晶                                     | "Cristal d'énergie spirituelle démoniaque"                   | Chapter 533 - demonic spiritual energy Crystal    
  534 | 十三                                       | Treize                                                       | Chapter 534 - Thirteen                            
  535 | 散养魂魄                                     | "Élevage de fragments d'âme"                                 | Chapter 535 - Raising Soul Fragments              
  536 | 战书                                       | Lettre de défi                                               | Chapter 536 - Challenge Letter                    
  537 | (empty)                                  | Sans titre                                                   | Chapter 537 - Untitled                             *
  538 | (empty)                                  | Chapitre 538                                                 | Chapter 538                                        *
  539 | 扩大                                       | Expansion                                                    | Chapter 539 - Expansion                           
  540 | 离去                                       | Départ                                                       | Chapter 540 - Leaving                             
  541 | 进城                                       | Entrée dans la ville                                         | Chapter 541 - Entering The City                   
  542 | 妖将的考验                                    | "L'épreuve des généraux démons"                              | Chapter 542 - The Demon Generals Test             
  543 | 战斗中的明悟                                   | "L'Éveil en plein combat"                                    | Chapter 543 - The Enlightenment During Battle     
  544 | 魔之念                                      | Idéaux Démoniaques                                           | Chapter 544 - Demonic Ideals                      
  545 | 统领                                       | Commandant                                                   | Chapter 545 - Commander                           
  546 | 妖兵                                       | Soldats démons                                               | Chapter 546 - Demon Soldiers                      
  547 | 黑甲军营                                     | "Les Casernes de l'Armure Noire"                             | Chapter 547 - Black Armor Barrack                 
  548 | 沉默的可怕                                    | La Terreur du Silence                                        | Chapter 548 - The Terror Of Silence               
  549 | 立威                                       | Démonstration de Puissance                                   | Chapter 549 - Displaying Might                    
  550 | 姚惜雪                                      | Yao Xixue                                                    | Chapter 550 - Yao Xixue                           
  551 | 交易                                       | Transaction                                                  | Chapter 551 - Transaction                         
  552 | 血魂丹                                      | "Pilule de l'Âme Sanguine"                                   | Chapter 552 - Blood Soul Pill                     
  553 | 仙晶                                       | Cristal Céleste                                              | Chapter 553 - Celestial Crystal                   
  554 | 六笔金符                                     | Le Symbole Doré à Six Traits                                 | Chapter 554 - The Six Stroke Golden Symbol        
  555 | 三符归一                                     | Trois traits fusionnent en un                                | Chapter 555 - Three Strokes Fuse Into One         
  556 | (empty)                                  | Inverser les Cieux                                           | Chapter 556 - Reversing The Heavens                *
  557 | (empty)                                  | Inverser les Cieux (Partie 2)                                | Chapter 557 - Reversing the Heavens (Part 2)       *
  558 | (empty)                                  | Inverser les Cieux (Partie 3)                                | Chapter 558 - Reversing The Heavens (Part 3)       *
  559 | 厅榭                                       | Le Pavillon de Réception                                     | Chapter 559 - Reception Pavilion                  
  560 | 沉睡                                       | Sommeil Profond                                              | Chapter 560 - Deep Sleep                          
  561 | 收获                                       | Récolte                                                      | Chapter 561 - Harvest                             
  562 | 婴变期圆满的实力                                 | "Le Pouvoir de la Transformation de l'Âme au Sommet"         | Chapter 562 - The Power Of Peak Soul Transformat  
  563 | (empty)                                  | Sauver Treize                                                | Chapter 563 - Saving Thirteen                      *
  564 | (empty)                                  | Une Paume                                                    | Chapter 564 - One Palm                             *
  565 | 老祖回归                                     | "Le retour de l'Ancêtre"                                     | Chapter 565 - The Ancestor Returns                
  566 | 虎咆、老者与铠甲                                 | "Hu Pao, le Vieil Homme et l'Armure"                         | Chapter 566 - Hu Pao, The Old Man, And The Armor  
  567 | 二问姚惜雪                                    | Questionner Yao Xixue une seconde fois                       | Chapter 567 - Question Yao Xixue The Second Time  
  568 | 熟人                                       | Rencontre                                                    | Chapter 568 - Acquaintance                        
  569 | 乱京之篇，序                                   | Chaos dans la capitale, Prologue                             | Chapter 569 - Chaos In the Capital, Prologue      
  570 | 琴音                                       | Musique de cithare                                           | Chapter 570 - Zither Music                        
  571 | 强颜                                       | Inébranlable                                                 | Chapter 571 - Unyielding                          
  572 | (empty)                                  | Art du Massacre Céleste (Partie 1)                           | Chapter 572 - Celestial Slaughter Art (Part 1)     *
  573 | (empty)                                  | "L'Art Céleste du Massacre (Partie 2)"                       | Chapter 573 - Celestial Slaughter Art (Part 2)     *
  574 | (empty)                                  | "L'Art du Massacre Céleste (Partie 3)"                       | Chapter 574 - Celestial Slaughter Art (Part 3)     *
  575 | 帝剑的委屈                                    | "Le Grief de l'Épée de l'Empereur"                           | Chapter 575 - The Emperors Swords Grievance       
  576 | 王林，向我全力出手！                               | "Wang Lin, attaque-moi de toutes tes forces !"               | "Chapter 576 - Wang Lin, Attack Me At Full Power  
  577 | 暗流                                       | Courants Sous-jacents                                        | Chapter 577 - Undercurrent                        
  578 | 杀戮道！！                                    | "Le Dao de la Boucherie !"                                   | "Chapter 578 - Dao Of Slaughter!"                 
  579 | (empty)                                  | "L'Énergie de l'Épée de Ling Tianhou (Partie 1)"             | Chapter 579 - Ling Tianhous Sword Energy (Part 1   *
  580 | (empty)                                  | "L'Énergie d'Épée de Ling Tianhou (Partie 2)"                | Chapter 580 - Ling Tianhous Sword Energy (Part 2   *
  581 | 妖将之战                                     | Le Concours des Généraux Démoniaques                         | Chapter 581 - Demon General Competition           
  582 | 王林出列                                     | "Wang Lin s'avance"                                          | Chapter 582 - Wang Lin Steps out                  
  583 | (empty)                                  | Xu Liguo (Partie 1)                                          | Chapter 583 - Xu Liguo (Part 1)                    *
  584 | (empty)                                  | Xu Liguo (Partie 2)                                          | Chapter 584 - Xu Liguo (Part 2)                    *
  585 | (empty)                                  | "La rébellion de Xu Liguo échoue ! (Partie 1)"               | "Chapter 585 - Chapter 585 - Xu Liguos Rebellion   *
  586 | (empty)                                  | "La rébellion de Xu Liguo échoue ! (Partie 2)"               | "Chapter 586 - Xu Liguos Rebellion Fails! (Part    *
  587 | (empty)                                  | "La rébellion de Xu Liguo échoue ! (Partie 3)"               | "Chapter 587 - Xu Liguos Rebellion Fails! (Part    *
  588 | (empty)                                  | Pari (Partie 1)                                              | Chapter 588 - Bet (Part 1)                         *
  589 | (empty)                                  | Pari (Partie 2)                                              | Chapter 589 - Bet (Part 2)                         *
  590 | 言出法随                                     | Les mots qui évoquent les lois                               | Chapter 590 - Words That Evoke Laws               
  591 | 天帅动容                                     | Le Commandant en Chef du Ciel est ému                        | Chapter 591 - The Heaven Commander-in-Chief Is M  
  592 | 我要，问鼎（第一更）                               | "Je veux l'Ascension"                                        | Chapter 592 - I Want Ascendant                    
  593 | 逆！（第二更）                                  | Défi                                                         | Chapter 593 - Defying                             
  594 | 金甲之死（今天三章连续读才会爽，不要跳订）                    | "La Mort de l'Homme en Armure Dorée"                         | Chapter 594 - Death Of The Golden Armor           
  595 | 最简单的天劫？不！                                | "La plus simple des rétributions divines ? Non !"            | "Chapter 595 - The Simplest Divine Retribution N  
  596 | 天威                                       | La Puissance des Cieux                                       | Chapter 596 - Heavens Might                       
  597 | 妖鼓                                       | Le Tambour Démoniaque                                        | Chapter 597 - Demon Drum                          
  598 | 问鼎之晶                                     | "Cristal d'Ascendant"                                        | Chapter 598 - Ascendant Crystal                   
